beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.30000000000000004,0.41415623546556474,crossing,6,10,"|0,2>","|5,0>",0.0
0.30000000000000004,0.41627802735296915,crossing,10,11,"|5,0>","|4,0>",0.0
0.30000000000000004,0.4466778416600655,crossing,4,7,"|2,1>","|3,0>",0.0
0.30000000000000004,0.4466811896161033,crossing,8,9,"|3,1>","|1,2>",0.0
0.30000000000000004,0.4896635630637903,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,0.4897674073035429,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.49616388426482516,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.49689393856882186,crossing,8,9,unlabeled,unlabeled,0.0
0.30000000000000004,0.49838876211592137,crossing,5,6,unlabeled,unlabeled,0.0
0.30000000000000004,0.4985099578797232,crossing,1,3,unlabeled,unlabeled,0.0
0.4,-0.49798870588079147,crossing,1,2,unlabeled,unlabeled,0.0
0.4,-0.49777372678434134,crossing,5,6,unlabeled,unlabeled,0.0
0.4,-0.49748979571359286,crossing,8,9,unlabeled,unlabeled,0.0
0.4,-0.4970147732424863,crossing,4,7,unlabeled,unlabeled,0.0
0.4,-0.4893251970636831,crossing,4,7,unlabeled,unlabeled,0.0
0.4,-0.4890751972225254,crossing,8,9,unlabeled,unlabeled,0.0
0.4,-0.4466986762925596,crossing,8,9,"|0,2>","|3,1>",0.0
0.4,-0.4466924944885484,crossing,4,7,"|2,1>","|3,0>",0.0
0.4,-0.41775067820191003,crossing,10,11,"|5,0>","|4,0>",0.0
0.4,-0.4133208504230986,crossing,6,11,"|1,2>","|4,0>",0.0
0.4,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.03466406118442933
0.4,-0.4058218876890294,crossing,8,9,"|0,2>","|3,1>",0.0
0.4,-0.3915403911098362,crossing,3,4,"|0,1>","|2,1>",0.0
0.4,-0.37692292858754484,crossing,8,9,"|0,2>","|3,1>",0.0
0.4,-0.37691333906365304,crossing,3,7,"|0,1>","|3,0>",0.0
0.4,-0.37,avoided,6,10,"|1,2>","|5,0>",0.02730005102931443
0.4,-0.3256267630816637,crossing,6,10,"|1,2>","|5,0>",0.0
