frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
10.0,3.0,0.084234,5.298867803597293,0.5,0.17594348014668965,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.24424323996265107,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.24430649668664622,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.31395859415079364,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.3351566266915091,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.3373941355078472,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.4358939841689723,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.4359039091809142,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.4466463512608968,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.4466471785572546,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.48984441435738973,crossing,8,9,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.4996167202032937,crossing,5,7,unlabeled,unlabeled,0.0
10.0,3.0,0.084234,5.298867803597293,0.5,0.49964933578424797,crossing,1,2,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.4995790953490074,crossing,1,2,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.49953992953507703,crossing,5,7,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.48972141996057733,crossing,8,9,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.4466492391050302,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.4466482413766989,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.4360216668641431,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.436011983134781,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.33750540964314,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.33528026977589276,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.3140116691829821,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.244440462610164,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.24437056900572504,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.1760399655081905,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.16502862870548923,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,-0.08856708710056124,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.08856708710012653,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.1650286287053665,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.17603996550816867,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.24437056900575338,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.2444404626101655,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.31401166918299095,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.3352802697758774,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.3375054096431442,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.43601198313476036,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.43602166686412513,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.4466482413767183,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.4466492391050636,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.489721408246187,crossing,8,9,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.49953992953507315,crossing,5,7,unlabeled,unlabeled,0.0
10.0,2.5,0.101121,6.359905659677666,0.5,0.4995790953490079,crossing,1,2,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.4994741308846247,crossing,1,2,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.4994251832351105,crossing,5,7,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.4894473907938379,crossing,8,9,unlabeled,unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.44665232938353955,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.44665107434265033,crossing,4,6,"|4,0>","|3,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.4360497052861774,crossing,3,9,"|0,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.43604018703886427,crossing,3,8,"|0,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.3374916566775867,crossing,5,9,"|1,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.3352739604538661,crossing,5,8,"|1,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.3139850329681627,crossing,3,4,"|0,1>","|4,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.2444171428199333,crossing,3,6,"|0,1>","|3,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.2443364163031438,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.17594871514619997,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.16494826295663803,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,-0.08844486361720452,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.0884448636170404,crossing,7,8,"|2,1>","|5,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.1649482629565764,crossing,4,5,"|4,0>","|1,1>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.1759487151461792,crossing,7,9,"|2,1>",unlabeled,0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.2443364163031507,crossing,10,11,"|0,2>","|6,0>",0.0
10.0,2.0,0.126371,7.9489307457041045,0.5,0.2444171428199322,crossing,3,6,"|0,1>","|3,0>",0.0
