frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.4,-0.46994782189986495,-0.0007720409195428601,0.0007720409195428601,0.0,2.2885327576721863,4.107117693444508,10.004248811050388,12.292009527803032,22.126472264989474,0.0,2.2885327576721863,4.107117693444508,10.003486948611652,6.598111941940289,12.292009527803032,6.270908997240127,14.11036400762788,11.03438496210498,11.037765187774397,16.274121922678887,16.601114793803873,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.39,-0.4335969506860238,-0.0007409589108249293,0.0007409589108249293,0.0,2.407419441309969,4.381241931933914,10.004248811050388,12.410927293449532,22.126472264989474,0.0,2.407419441309969,4.381241931933914,10.003521285620565,6.993034031207628,12.410927293449532,6.560344866927778,14.38451971451886,11.331044805936244,11.336809954423956,16.56354949651137,16.99598455164599,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.38,-0.40447371257502596,-0.0007066611750019547,0.0007066611750019547,0.0,2.5205251594003073,4.636576606225589,10.004248811050388,12.524067309275694,22.126472264989474,0.0,2.5205251594003073,4.636576606225589,10.003555408867385,7.395345407953386,12.524067309275694,6.845699848950176,14.639885116445356,11.629768462345595,11.639092810176692,16.848897522152896,17.39824292902759,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.37,-0.38140343820620615,-0.0006667264771920145,0.0006667264771920145,0.0,2.628244703392653,4.8750859685791,10.004248811050388,12.63182678796585,22.126472264989474,0.0,2.628244703392653,4.8750859685791,10.003589398292576,7.801345206542379,12.63182678796585,7.125859693559391,14.87842383955396,11.929637151488976,11.944049845372149,17.12905192336791,17.804187919682363,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.36,-0.3632158728707964,-0.0006145305308109528,0.0006145305308109528,0.0,2.730941615560994,5.098667358251191,10.004248811050388,12.734575896080571,22.126472264989474,0.0,2.730941615560994,5.098667358251191,10.003623353005992,8.207642844840422,12.734575896080571,7.399944373250094,15.102032997972827,12.229778507666651,12.251202199378241,17.403132797970045,18.210426136979066,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.35,-0.34887515189382157,-0.0005251419941316726,0.0005251419941316726,0.0,2.8289427758545003,5.309010399815179,10.004248811050388,12.832666444910757,22.126472264989474,0.0,2.8289427758545003,5.309010399815179,10.00365750590447,8.611250205872011,12.832666444910757,7.667269296325998,15.312402232633474,12.529338720303713,12.560127481259428,17.670455628420143,18.613963959359893,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.33999999999999997,-0.33752412751380234,-0.0001653185066459173,0.0001653185066459173,0.0,2.9225382072825425,5.507552287051283,10.004248811050388,12.926621699826285,22.126472264989474,0.0,2.9225382072825425,5.507552287051283,10.003692518649473,9.00959881719561,12.926621699826285,7.927312627405001,15.510968873027622,12.827285868082129,12.87043454598603,17.930498600470628,19.01222188666665,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.32999999999999996,-0.32848149467218946,-0.0010915255211614294,0.0010915255211614294,0.0,3.0119833636366593,5.695485232601129,10.004248811050388,13.015140649165886,22.126472264989474,0.0,3.0119833636366593,5.695485232601129,10.003730843805442,9.400517676005336,13.015140649165886,8.179687299871148,15.69892531119362,13.124405680300072,13.181739915150956,18.18287461635373,19.403003570852945,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.32,-0.3212185013192368,-0.0007714494618653589,0.0007714494618653589,0.0,3.0975024379724516,5.873786374625666,10.004248811050388,13.100979799560974,22.126472264989474,0.0,3.0975024379724516,5.873786374625666,10.003791811801932,9.78218373438881,13.100979799560974,8.424116893570726,15.877248869326024,13.417423437195055,13.49364550475866,18.42730717646768,19.78440448166964,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
10.0,4.0,0.063206,3.9751100613693704,0.5,-0.31,-0.31533029418125125,-0.0006868425938932887,0.0006868425938932887,0.0,3.179291929129306,6.043253564077361,10.004248811050388,13.182853897585801,22.126472264989474,0.0,3.179291929129306,6.043253564077361,10.003704055371571,10.153294111753723,13.182853897585801,8.660414851258906,16.046737571584117,13.707108645440343,13.805718257304108,18.663609602874175,20.007700756831014,"|0,0>","|1,0>","|2,0>","|0,1>","|4,0>","|1,1>","|3,0>","|2,1>","|5,0>",unlabeled,"|0,2>","|6,0>"
