beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz,gap_MHz
0.04,0.19153990491258407,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.04,0.24801105350084826,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.04,0.24803247973021827,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.04,0.3048357740525149,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.04,0.3115787774736378,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.04,0.3770849399220099,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.04,0.39163868829332615,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.04,0.395,avoided,8,9,"|3,1>","|4,1>",0.005526793508224159,5.526793508224159
0.04,0.405,avoided,6,8,"|2,1>","|3,1>",0.001955576930185998,1.9555769301859982
0.04,0.49958992087549786,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.04,0.4995945035770994,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.045,-0.499543414076541,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.045,-0.49953761415701836,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.045,-0.405,avoided,6,8,"|2,1>","|3,1>",0.00241470948525091,2.41470948525091
0.045,-0.395,avoided,8,9,"|3,1>","|4,1>",0.005794506473051797,5.794506473051797
0.045,-0.3916257827924484,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.045,-0.3770727872221665,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.045,-0.3115513109667531,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.045,-0.3048106142421769,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.045,-0.24799559631067383,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.045,-0.24797086931444595,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.045,-0.1915233421025649,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.045,-0.17449656607086578,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.045,-0.057414517659856494,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.045,0.05741451765957148,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.045,0.1744965660707832,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.045,0.19152334210245378,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.045,0.24797086931421913,crossing,6,9,"|0,2>","|2,1>",0.0,0.0
0.045,0.247995596310518,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.045,0.3048106142422039,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.045,0.3115513109667374,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.045,0.37707278722220156,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.045,0.39162578279243143,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.045,0.395,avoided,8,9,"|3,1>","|4,1>",0.005794506471417549,5.794506471417549
0.045,0.405,avoided,6,8,"|2,1>","|3,1>",0.0024147094852935425,2.4147094852935425
0.045,0.499537614156771,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.045,0.4995434140765236,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.05,-0.49949224444766965,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.05,-0.49948508416334697,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.05,-0.495,avoided,3,4,"|4,1>","|6,2>",2.856071716905717e-07,0.0002856071716905717
0.05,-0.405,avoided,6,8,"|2,1>","|3,1>",0.00287809247855364,2.87809247855364
0.05,-0.395,avoided,8,9,"|3,1>","|4,1>",0.006085187340943321,6.085187340943321
0.05,-0.39161394083608236,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.05,-0.37706183545412736,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.05,-0.31152566878508964,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.05,-0.30478753512492224,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.05,-0.24796169243674585,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.05,-0.24793384381169103,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.05,-0.19151498954525903,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.05,-0.1744386354833452,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.05,-0.05725525990605903,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.05,0.05725525990580968,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.05,0.17443863548324584,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.05,0.19151498954523546,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.05,0.24793384381155126,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.05,0.2479616924366482,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.05,0.3047875351249158,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.05,0.31152566878509264,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.05,0.3770618354541588,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.05,0.39161394083607215,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.05,0.395,avoided,8,9,"|3,1>","|4,1>",0.006085187341128062,6.085187341128062
0.05,0.405,avoided,6,8,"|2,1>","|3,1>",0.002878092478169947,2.878092478169947
0.05,0.495,avoided,3,4,"|4,1>","|6,2>",2.8560768328134145e-07,0.00028560768328134145
0.05,0.49948508416349235,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.05,0.499492244447894,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.055,-0.49944099463551195,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.055,-0.49943233080570226,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.055,-0.495,avoided,3,4,"|4,1>","|6,2>",1.815081418499176e-08,1.815081418499176e-05
0.055,-0.405,avoided,6,8,"|2,1>","|3,1>",0.003340092178873988,3.340092178873988
0.055,-0.395,avoided,8,9,"|3,1>","|4,1>",0.00639743917828639,6.39743917828639
0.055,-0.391602807313829,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.055,-0.3770516139470962,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.055,-0.311501294940056,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.055,-0.30476563858238787,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.055,-0.24792975240888038,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.055,-0.24789905104643178,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.055,-0.19151292022782157,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.055,-0.17438376241623735,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.055,-0.05711732923530155,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.055,0.05711732923514853,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.055,0.1743837624161434,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.055,0.19151292022775812,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.055,0.2478990510462754,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.055,0.24792975240874437,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.055,0.30476563858231653,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.055,0.3115012949400663,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.055,0.3770516139471261,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.055,0.39160280731383007,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.055,0.395,avoided,8,9,"|3,1>","|4,1>",0.006397439179465891,6.397439179465891
0.055,0.405,avoided,6,8,"|2,1>","|3,1>",0.003340092178945042,3.340092178945042
0.055,0.495,avoided,3,4,"|4,1>","|6,2>",1.815092787182948e-08,1.815092787182948e-05
0.055,0.499432330805013,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.055,0.499440994635487,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.06,-0.4993896678308682,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
0.06,-0.49937935736701566,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.06,-0.4968607059833896,crossing,3,4,"|6,2>","|4,1>",0.0,0.0
0.06,-0.405,avoided,6,8,"|2,1>","|3,1>",0.0038086800264380827,3.8086800264380827
0.06,-0.395,avoided,8,9,"|3,1>","|4,1>",0.006727501860765983,6.727501860765983
0.06,-0.39159265845270275,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.06,-0.37704253772472285,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.06,-0.31147852332027015,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.06,-0.30474577343502174,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.06,-0.2479006619727832,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.06,-0.24786733639174535,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.06,-0.19151723493355308,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.06,-0.17433313186613172,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.06,-0.05700324611449678,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.06,0.057003246114235046,crossing,4,6,"|4,0>","|2,1>",0.0,0.0
0.06,0.17433313186605695,crossing,4,9,"|0,2>","|4,0>",0.0,0.0
0.06,0.19151723493343292,crossing,3,7,"|3,0>","|1,1>",0.0,0.0
0.06,0.24786733639154246,crossing,6,9,"|2,1>","|0,2>",0.0,0.0
0.06,0.2479006619726155,crossing,1,5,"|0,1>","|2,0>",0.0,0.0
0.06,0.30474577343502923,crossing,8,9,"|0,2>","|6,0>",0.0,0.0
0.06,0.311478523320254,crossing,4,7,"|4,0>","|1,1>",0.0,0.0
0.06,0.37704253772476565,crossing,3,5,"|3,0>","|0,1>",0.0,0.0
0.06,0.3915926584527043,crossing,4,5,"|5,0>","|4,0>",0.0,0.0
0.06,0.395,avoided,8,9,"|3,1>","|4,1>",0.006727501860083862,6.727501860083862
0.06,0.405,avoided,6,8,"|2,1>","|3,1>",0.0038086800260543896,3.8086800260543896
0.06,0.49496691924460795,crossing,3,4,"|6,2>","|4,1>",0.0,0.0
0.06,0.4993793573674305,crossing,6,7,"|1,1>","|2,1>",0.0,0.0
0.06,0.4993896678309302,crossing,1,2,"|1,0>","|2,0>",0.0,0.0
