beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
0.30000000000000004,-0.37691287124224837,crossing,2,8,"|0,1>","|3,0>",0.0
0.30000000000000004,-0.3256736969708954,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,-0.31120199870181586,crossing,4,5,"|1,1>","|2,1>",0.0
0.30000000000000004,-0.30805445725866176,crossing,6,10,"|0,2>","|1,2>",0.0
0.30000000000000004,-0.3044162651035559,crossing,6,7,"|0,2>","|5,0>",0.0
0.30000000000000004,-0.27545618062157096,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,-0.2469533212258989,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,-0.24657968226937618,crossing,6,11,"|0,2>","|4,0>",0.0
0.30000000000000004,-0.22529857331723932,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,-0.19287121316724432,crossing,4,8,"|1,1>","|3,0>",0.0
0.30000000000000004,-0.17364430108904058,crossing,5,6,"|2,1>","|0,2>",0.0
0.30000000000000004,-0.16999999999999998,avoided,9,10,"|3,1>","|1,2>",0.05537450984390091
0.30000000000000004,-0.10039050294779489,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,-0.05463018080873214,crossing,5,11,"|2,1>","|4,0>",0.0
0.30000000000000004,0.05463018080866466,crossing,5,11,"|2,1>","|4,0>",0.0
0.30000000000000004,0.10039050294787952,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,0.17000000000000004,avoided,9,10,"|3,1>","|1,2>",0.05537450984459724
0.30000000000000004,0.17364430108900195,crossing,5,6,"|2,1>","|0,2>",0.0
0.30000000000000004,0.19287121316714217,crossing,4,8,"|1,1>","|3,0>",0.0
0.30000000000000004,0.22529857331724168,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,0.24657968226922827,crossing,6,11,"|0,2>","|4,0>",0.0
0.30000000000000004,0.2469533212256447,crossing,2,3,"|0,1>","|2,0>",0.0
0.30000000000000004,0.2754561806215819,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,0.3044162651035487,crossing,6,7,"|0,2>","|5,0>",0.0
0.30000000000000004,0.30805445725864594,crossing,6,10,"|0,2>","|1,2>",0.0
0.30000000000000004,0.31120199870183796,crossing,4,5,"|1,1>","|2,1>",0.0
0.30000000000000004,0.32567369697084286,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,0.37691287124229406,crossing,2,8,"|0,1>","|3,0>",0.0
0.30000000000000004,0.3769150095138042,crossing,6,9,"|0,2>","|3,1>",0.0
0.30000000000000004,0.38,avoided,7,10,"|5,0>","|1,2>",0.015675320437253504
0.30000000000000004,0.39152397738546735,crossing,2,5,"|0,1>","|2,1>",0.0
0.30000000000000004,0.4058162693241053,crossing,6,9,"|0,2>","|3,1>",0.0
0.30000000000000004,0.4135290674393303,crossing,7,10,"|5,0>","|1,2>",0.0
0.30000000000000004,0.4167814205199002,crossing,10,11,"|1,2>","|4,0>",0.0
0.30000000000000004,0.44665712333815627,crossing,5,8,"|2,1>","|3,0>",0.0
0.30000000000000004,0.44665871486848896,crossing,6,9,"|0,2>","|3,1>",0.0
0.30000000000000004,0.49919292418577293,crossing,4,7,unlabeled,unlabeled,0.0
0.30000000000000004,0.4992536450903542,crossing,1,3,unlabeled,unlabeled,0.0
0.4,-0.4989911351964838,crossing,1,3,unlabeled,unlabeled,0.0
0.4,-0.498883291940858,crossing,5,6,unlabeled,unlabeled,0.0
