frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,alpha_GHz,chi_GHz,abs_chi_GHz,state_0_0_GHz,state_1_0_GHz,state_2_0_GHz,state_0_1_GHz,state_1_1_GHz,state_0_2_GHz,tracked_level_0_GHz,tracked_level_1_GHz,tracked_level_2_GHz,tracked_level_3_GHz,tracked_level_4_GHz,tracked_level_5_GHz,tracked_level_6_GHz,tracked_level_7_GHz,tracked_level_8_GHz,tracked_level_9_GHz,tracked_level_10_GHz,tracked_level_11_GHz,tracked_level_0_label,tracked_level_1_label,tracked_level_2_label,tracked_level_3_label,tracked_level_4_label,tracked_level_5_label,tracked_level_6_label,tracked_level_7_label,tracked_level_8_label,tracked_level_9_label,tracked_level_10_label,tracked_level_11_label
6.922,2.5,0.211252,9.192431669585584,0.5,0.12,-0.28358402985236353,-0.0013543850636921206,0.0013543850636921206,0.0,4.165584426224029,8.047584822595695,6.921183709214873,11.08541375037521,13.842461437592917,0.0,4.165584426224029,6.920889099877613,8.047584822595695,14.668870152098961,11.08541375037521,18.00533864813565,11.613944078884103,13.841865155119763,18.534550038120358,17.838161261899046,14.968935207684652,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.13,-0.28402971366861607,-0.0015537277145938333,0.0015537277145938333,0.0,4.136845106359772,7.9896604990509275,6.921183709214873,11.05647508786005,13.842461437592917,0.0,4.136845106359772,6.920832519509716,7.9896604990509275,14.542332409887749,11.05647508786005,17.97620047619681,11.5268000475143,13.84175077768623,18.44764457252566,17.70345891288224,14.910923883449314,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.14,-0.28452424814383903,-0.001823249840285257,0.001823249840285257,0.0,4.105726971073395,7.9269296940029506,6.921183709214873,11.025087430447982,13.842461437592917,0.0,4.105726971073395,6.920768684125591,7.9269296940029506,14.40481985884034,11.025087430447982,17.94454499916729,11.43251925171974,13.841621752204034,18.353661944418505,17.5583737324786,14.848124530348656,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.15000000000000002,-0.28507125085724283,-0.0022107546644463127,0.0022107546644463127,0.0,4.07220924458683,7.859347238316417,6.921183709214873,10.991182199137256,13.842461437592917,0.0,4.07220924458683,6.92069627006039,7.859347238316417,14.256122130810908,10.991182199137256,17.91025774842214,11.33109579268357,13.841475340522251,18.242071414680154,17.403015675365864,14.780487287033509,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.16000000000000003,-0.28567469550618796,-0.002823068124897077,0.002823068124897077,0.0,4.0362686347102965,7.786862573914405,6.921183709214873,10.954629275800272,13.842461437592917,0.0,4.0362686347102965,6.920613334340757,7.786862573914405,14.096003607798096,10.954629275800272,17.87310950061709,11.222577918580654,13.841307294891024,18.025125776920945,17.237510791494444,14.707959784985931,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.17000000000000004,-0.2863387369855559,-0.003955159947935272,0.003955159947935272,0.0,3.997879072232024,7.709419407478492,6.921183709214873,10.915107621498962,13.842461437592917,0.0,3.997879072232024,6.920516919286953,7.709419407478492,13.924207549496629,10.915107621498962,17.79668628445475,11.107197106324833,13.841108095997043,17.832522526990573,17.062003360649285,14.630486161666312,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.18000000000000005,-0.2870672517504289,-0.006788887677771527,0.006788887677771527,0.0,3.957011411174989,7.626955570599549,6.921183709214873,10.87140623271209,13.842461437592917,0.0,3.957011411174989,6.920402311027715,7.626955570599549,13.740427640484185,10.87140623271209,17.557329477353733,10.986066842402693,13.84089160548126,17.786441578714516,16.8766580280236,14.54800711642649,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.19000000000000006,-0.2878626993215221,-0.020972932584925275,0.020972932584925275,0.0,3.9136330838177855,7.539403468314049,6.921183709214873,10.813843860447733,13.842461437592917,0.0,3.9136330838177855,6.920261538540927,7.539403468314049,13.544398184529015,10.813843860447733,17.30769049936282,10.868762702134333,13.840604763032786,17.72352214799949,16.68166202106572,14.46046153404967,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.20000000000000007,-0.28872323754895035,0.007751529996824047,0.007751529996824047,0.0,3.867707703111961,7.446692168674971,6.921183709214873,10.796642942323658,13.842461437592917,0.0,3.867707703111961,6.920080020305747,7.446692168674971,13.335779761723003,10.796642942323658,17.048462190321203,10.700948308731896,13.840239961990846,17.613907864186174,16.477227440582794,14.367791674504204,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
6.922,2.5,0.211252,9.192431669585584,0.5,0.20999999999999996,-0.28963477532600734,0.0035185458514916945,0.0035185458514916945,0.0,3.819194603780062,7.3487544322341165,6.921183709214873,10.743896858846426,13.842461437592917,0.0,3.819194603780062,6.91982800754414,7.3487544322341165,13.114249063946147,10.743896858846426,16.78039201010435,10.558408100944249,13.8397354129891,17.474420029812876,16.26359359676968,14.26995839138688,"|0,0>","|1,0>","|0,1>","|2,0>","|2,1>","|1,1>","|1,2>","|3,0>","|0,2>","|3,1>","|5,0>","|4,0>"
