frequency_GHz,capacitance_pF,L_tot_nH,Z_ohm,beta,phi_ext_over_phi0,kind,level_a,level_b,label_a,label_b,gap_GHz
6.922,3.0,0.17604,7.660287200882223,0.5,0.3115246864249024,crossing,4,5,"|2,1>","|1,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.3256614945009213,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.3772076631478494,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.3772078933778865,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.38,avoided,6,10,"|1,2>","|5,0>",0.01872847514070486
6.922,3.0,0.17604,7.660287200882223,0.5,0.3917649839649372,crossing,2,4,"|0,1>","|2,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.40581534878990727,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.021358480781344724
6.922,3.0,0.17604,7.660287200882223,0.5,0.41324064493328083,crossing,6,11,"|1,2>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.4181611663984444,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.44665691144466063,crossing,4,7,"|2,1>","|3,0>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.4466595161169265,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.49914965383061977,crossing,5,6,unlabeled,unlabeled,0.0
6.922,3.0,0.17604,7.660287200882223,0.5,0.4992487987502952,crossing,1,3,unlabeled,unlabeled,0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.49909896605254433,crossing,1,3,unlabeled,unlabeled,0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.49898005436209575,crossing,5,6,unlabeled,unlabeled,0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.4466641237572506,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.4466609656791467,crossing,4,7,"|2,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.41811287857906954,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.4133087940257353,crossing,6,11,"|1,2>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.02325379195283972
6.922,2.5,0.211252,9.192431669585584,0.5,-0.4058159743706949,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.3917717648919896,crossing,2,4,"|0,1>","|2,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.38,avoided,6,10,"|1,2>","|5,0>",0.020350853574626626
6.922,2.5,0.211252,9.192431669585584,0.5,-0.37722271782096733,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.3772203074794226,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.32565558961003355,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.3114824895997,crossing,4,5,"|2,1>","|1,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.3085711697302677,crossing,6,8,"|1,2>","|0,2>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.3049442538660162,crossing,8,10,"|0,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.27545413908482996,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.2528570650226414,crossing,8,11,"|0,2>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.2469532762104086,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.22529810591890065,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.19364634316986312,crossing,5,7,"|1,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.1745270160133596,crossing,4,8,"|2,1>","|0,2>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.16999999999999998,avoided,6,9,"|1,2>","|3,1>",0.03583624253579387
6.922,2.5,0.211252,9.192431669585584,0.5,-0.10221313428883437,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,-0.06,avoided,4,11,"|2,1>","|4,0>",0.022692968879240993
6.922,2.5,0.211252,9.192431669585584,0.5,0.06000000000000005,avoided,4,11,"|2,1>","|4,0>",0.022692968879155728
6.922,2.5,0.211252,9.192431669585584,0.5,0.10221313428880101,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.17000000000000004,avoided,6,9,"|1,2>","|3,1>",0.035836242535822294
6.922,2.5,0.211252,9.192431669585584,0.5,0.17452701601332934,crossing,4,8,"|2,1>","|0,2>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.19364634316983262,crossing,5,7,"|1,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.2252981059188964,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.24695327621021643,crossing,2,3,"|0,1>","|2,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.2528570650226688,crossing,8,11,"|0,2>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.2754541390848335,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.30494425386600144,crossing,8,10,"|0,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.3085711697302601,crossing,6,8,"|1,2>","|0,2>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.3114824895996729,crossing,4,5,"|2,1>","|1,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.32565558961004504,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.37722030747943647,crossing,2,7,"|0,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.3772227178209869,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.38,avoided,6,10,"|1,2>","|5,0>",0.020350853573788186
6.922,2.5,0.211252,9.192431669585584,0.5,0.3917717648919431,crossing,2,4,"|0,1>","|2,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.4058159743706993,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.023253791952143388
6.922,2.5,0.211252,9.192431669585584,0.5,0.41330879402574083,crossing,6,11,"|1,2>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.4181128785790901,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.4466609656791087,crossing,4,7,"|2,1>","|3,0>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.44666412375719095,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.4989800543621018,crossing,5,6,unlabeled,unlabeled,0.0
6.922,2.5,0.211252,9.192431669585584,0.5,0.49909896605253007,crossing,1,3,unlabeled,unlabeled,0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4988751405177019,crossing,1,2,unlabeled,unlabeled,0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4987267363922134,crossing,5,6,unlabeled,unlabeled,0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4954957859059687,crossing,8,9,unlabeled,unlabeled,0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.49,avoided,4,7,unlabeled,unlabeled,1.612545318607772e-06
6.922,2.0,0.26393,11.487602012604722,0.5,-0.48991699973216934,crossing,8,9,unlabeled,unlabeled,0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.44667108880226597,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4466670830471767,crossing,4,7,"|2,1>","|3,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4180060900546662,crossing,10,11,"|5,0>","|4,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.4133472914409711,crossing,6,11,"|1,2>","|4,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.41000000000000003,avoided,6,10,"|1,2>","|5,0>",0.026548550140034877
6.922,2.0,0.26393,11.487602012604722,0.5,-0.40581693382350603,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.39174248264788314,crossing,3,4,"|0,1>","|2,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.38,avoided,6,10,"|1,2>","|5,0>",0.02288821867450963
6.922,2.0,0.26393,11.487602012604722,0.5,-0.3771833270927958,crossing,8,9,"|0,2>","|3,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.37717741411663913,crossing,3,7,"|0,1>","|3,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.3256467129266017,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.3113632962921875,crossing,4,5,"|2,1>","|1,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.3084598903158286,crossing,6,8,"|1,2>","|0,2>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.30481568047620744,crossing,8,10,"|0,2>","|5,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.2754534194741599,crossing,6,10,"|1,2>","|5,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.25302318291608766,crossing,8,11,"|0,2>","|4,0>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.25251903567969053,crossing,2,3,"|2,0>","|0,1>",0.0
6.922,2.0,0.26393,11.487602012604722,0.5,-0.22529810980458745,crossing,6,10,"|1,2>","|5,0>",0.0
